Date,13W_TB,5Y_TBY,10Y_TBY,30Y_TBY,DWJ,Year
12/20/2017,-0.002217295,0.00990991,0.013804304,0.019496632,-0.001135136,2017
12/21/2017,-0.022222222,0.001338091,-0.006407689,-0.015299026,0.002250204,2017
12/22/2017,-0.016666667,0.002672606,0.001612253,0.000353107,-0.00113912,2017
12/26/2017,0.00385208,-0.006219458,-0.007243461,-0.007059654,-0.00031712,2017
12/27/2017,0.080583269,-0.016987036,-0.021483583,-0.023107003,0.001135123,2017
12/28/2017,-0.026988636,0.015916326,0.007456504,0.002911208,0.002551434,2017
12/29/2017,-0.010948905,-0.012533572,-0.011101974,-0.00616836,-0.004762555,2017
1/2/2018,0.01697417,0.019945603,0.024948025,0.026286966,0.004239211,2018
1/3/2018,-0.005805515,-0.001333333,-0.007302231,-0.009249377,0.003974781,2018
1/4/2018,0,0.009345794,0.002451982,0.000359066,0.006116918,2018
1/5/2018,0,0.007495591,0.009376274,0.008973439,0.008803145,2018
1/8/2018,0.00729927,0,0.001615509,0.001067236,-0.000508779,2018
1/9/2018,0.025362319,0.017067834,0.026612903,0.02594172,0.004065973,2018
1/10/2018,-0.014134276,0.00172117,0.001571092,0.001385521,-0.000656666,2018
1/11/2018,0.005734767,-0.006013746,-0.00745098,-0.008993428,0.008104338,2018
1/12/2018,0.004989309,0.01426102,0.008297116,-0.004188482,0.008933037,2018
1/16/2018,-0.010638298,0.003408607,-0.003134796,-0.00595864,-0.000400338,2018
1/17/2018,0.014336918,0.01656051,0.01336478,0.004231312,0.012514704,2018
1/18/2018,-0.007067138,0.006683375,0.012800621,0.014044944,-0.003746413,2018
1/19/2018,-0.001423488,0.010788382,0.009957871,0.008310249,0.002072042,2018
1/22/2018,-0.009265859,0.010262726,0.010618127,0.005494505,0.005480268,2018
1/23/2018,0.016546763,-0.016253555,-0.015384615,-0.008879781,-0.000144576,2018
1/24/2018,-0.002123142,0.008261049,0.011432927,0.012405238,0.001576067,2018
1/25/2018,-0.012056738,-0.008603032,-0.012434062,-0.019400953,0.005358424,2018
1/26/2018,-0.003589375,0.020661157,0.015642884,0.010760153,0.008484135,2018
1/29/2018,-0.009365994,0.010121457,0.013899324,0.010645604,-0.006658599,2018
1/30/2018,0.036363636,0.004809619,0.010003705,0.012572205,-0.013713961,2018
