"Date","DXY","METALS","OIL","US_STK","INTL_STK","X13W_TB","X10Y_TBY","EURUSD","YEAR"
"2/25/2016",-0.001744285,0.010176499,0.028615863,0.012111568,0.010806083,-0.015873016,-0.025832377,-0.0011898,"2016"
"2/26/2016",0.008839562,-0.025657123,-0.008769277,-0.002301167,-0.002227424,-0.022580645,0.038302887,0.001003274,"2016"
"2/29/2016",0.000611279,0.032633214,0.029591214,-0.007842635,-0.001785467,0.01650165,-0.012485812,-0.009164634,"2016"
"3/1/2016",0.001425507,-0.036138878,0.019259259,0.023507209,0.024597245,0.038961039,0.054022989,-0.003201223,"2016"
"3/2/2016",-0.001423477,0.039116961,0.00755814,0.004492251,0.008293313,-0.053125,0.007633588,-0.001196623,"2016"
"3/3/2016",-0.006516638,0.044829774,-0.002596653,0.003919665,0.010822371,-0.132013201,-0.00974026,-0.000641783,"2016"
"3/4/2016",-0.002357323,-0.002092974,0.0390512,0.003253777,0.010278408,0.007604563,0.028961749,0.007358563,"2016"
"3/7/2016",-0.002773742,0.032809019,0.055122494,0.000797932,0.000423986,0,0.010090281,0.004110896,"2016"
"3/8/2016",0.001442248,-0.044386494,-0.036939314,-0.010917644,-0.011864305,0.150943396,-0.036803365,0.002005647,"2016"
"3/9/2016",-0.000411491,0.010928977,0.049041096,0.00493959,0.004287998,-0.055737705,0.032751092,-0.001089324,"2016"
"3/10/2016",-0.011320346,0.040240256,-0.011752416,0.000802134,-0.000426814,0.052083333,0.019556025,-0.001363139,"2016"
"3/11/2016",0.001040887,-0.017176718,0.01744186,0.016137309,0.022639755,0.01650165,0.024883359,0.017237222,"2016"
"3/14/2016",0.004679266,-0.025260583,-0.056103896,-0.001282216,-0.000963817,0,-0.007081437,-0.000938414,"2016"
"3/15/2016",0.000103436,0.005725433,0.05833792,-0.00162959,-0.010905811,0.055194805,-0.002037697,-0.005906192,"2016"
"3/16/2016",-0.007658057,0.069513094,0.04524181,0.005787139,0.01060197,-0.076923077,-0.010719755,0.00063322,"2016"
"3/17/2016",-0.011784305,-0.006583569,-0.018905473,0.006344037,0.012589093,-0.083333333,-0.018059856,0.009895571,"2016"
"3/18/2016",0.002427142,0.003666131,0,0.003929835,0.000828893,0.018181818,-0.016815554,0.008827928,"2016"
"3/21/2016",0.003158259,0.003512223,0.050963489,0.001418807,-0.001656269,0.028571429,0.027792624,-0.003440543,"2016"
"3/22/2016",0.003777951,-0.001539969,-0.040048251,-0.000537331,-0.001244347,0.024305556,0.00624025,-0.003820361,"2016"
"3/23/2016",0.004181924,-0.073191279,-0.008293541,-0.006599762,-0.010382026,-0.006779661,-0.031007752,-0.001155221,"2016"
"3/24/2016",0.00093697,0.020877535,0,-0.000442892,-0.007133826,-0.061433447,0.013333333,-0.003735197,"2016"
"3/28/2016",-0.002080268,-0.003853023,-0.0299037,0.00059081,0.004649105,-0.072727273,-0.015789474,-0.001885333,"2016"
"3/29/2016",-0.00813006,0.052514117,0.001044932,0.009250398,0.010938223,-0.117647059,-0.029946524,0.003830655,"2016"
"3/30/2016",-0.003362841,-0.006077739,0.000521921,0.00438766,0.008739088,-0.177777778,0.008820287,0.007972171,"2016"
"3/31/2016",-0.002636019,-0.011518743,-0.040427752,-0.002427095,-0.004950406,0.043243243,-0.024043716,0.003775229,"2016"
"4/1/2016",0.000317232,0.003021134,0,0.006811964,-0.009535909,0.129533679,0.003359462,0.003971006,"2016"
"4/4/2016",-0.001162555,-0.029977108,-0.024463169,-0.003238049,-0.002511368,-0.160550459,-0.007254464,0.000911274,"2016"
